Date,FarmName,Plot Area in m2,Activity,Image_url,sequence of visit,tillage,DAP(kg),MOP(kg),SEED,GERMINATION VALUE(%),Channels Constructed,Sprinker installed,Irrigation Done,Seed Variety,Activity image,Growth Stage/Alert,Weeding,Soil,Severity,Weeding Done,Fertilization Done,Tiller value
15/05/2024,Charandas1,1224,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
15/05/2024,Charandas1,1224,Fertilizer,,,,15,15,,,,,,1207,,,,,,,TRUE,
15/05/2024,Charandas1,1224,sowing,,,,,,12,,,,,1207,,,,,,,,
15/05/2024,Charandas2,1620,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
15/05/2024,Charandas2,1620,Fertilizer,,,,20,20,,,,,,1207,,,,,,,TRUE,
15/05/2024,Charandas2,1620,sowing,,,,,,16,,,,,1207,,,,,,,,
16/05/2024,Charandas3,997,sowing,,,,,,9.8,,,,,1207,,,,,,,,
15/05/2024,Charandas3,997,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
15/05/2024,Charandas3,997,Fertilizer,,,,12.5,12.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas4,862,sowing,,,,,,8.5,,,,,1207,,,,,,,,
15/05/2024,Charandas4,862,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
15/05/2024,Charandas4,862,Fertilizer,,,,10.65,10.65,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas5,1249,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas5,1249,Fertilizer,,,,15.5,15.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas5,1249,sowing,,,,,,12.35,,,,,1207,,,,,,,,
16/05/2024,Charandas6,3681,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas6,3681,Fertilizer,,,,45.5,45.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas6,3681,sowing,,,,,,36,,,,,1207,,,,,,,,
16/05/2024,Charandas7,386,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas7,386,Fertilizer,,,,4.8,4.8,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas7,386,sowing,,,,,,3.8,,,,,1207,,,,,,,,
16/05/2024,Charandas8,981,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas8,981,Fertilizer,,,,12.5,12.5,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas8,981,sowing,,,,,,9.7,,,,,1207,,,,,,,,
16/05/2024,Charandas9,338,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas9,338,Fertilizer,,,,4.2,4.2,,,,,,1207,,,,,,,TRUE,
16/05/2024,Charandas9,338,sowing,,,,,,3.4,,,,,1207,,,,,,,,
16/05/2024,Charandas10,1436,Field Preparation,,,2 times,,,,,,,,1207,,,,,,,,
16/05/2024,Charandas10,1436,Fertilizer,,,,17.25,17.25,,,,,,1207,,,,,,,TRUE,
