datetime,tempmax,tempmin,precip,precipcover,snow,windspeed,cloudcover,description,,
2024-05-15,27.1,-7.3,0.5,100,0.1,7.2,8.8,Clear conditions throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-16,28.1,-6.5,0.1,100,0,8.6,4.6,Clear conditions throughout the day with afternoon rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-17,27.1,-6.1,1.3,100,0,7.6,17.3,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-18,28.1,-4.4,0.7,100,0,8.3,17,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42065099999,remote"
2024-05-19,30.1,-3.6,8.8,100,0.4,10.1,52.1,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-20,32.1,-4.7,5.8,100,0.1,10.4,43.4,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-05-21,25.1,-4,2.4,100,0,8.3,22.5,Partly cloudy throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-22,35.1,-2.2,0.9,100,0,14.8,14.9,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42065099999,remote"
2024-05-23,29.1,-2,0.6,100,0,11.2,24.4,Partly cloudy throughout the day with rain.,rain,"42705199999,42065099999,remote"
2024-05-24,34.1,-1.5,0.3,100,0,16.6,25.4,Becoming cloudy in the afternoon with rain.,rain,"42705199999,42065099999,remote"
2024-05-25,29.1,-1.7,0.6,100,0,8.6,19.7,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-26,29.1,-1.6,0.6,100,0,6.1,8.4,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-27,37.1,-1.5,0.9,100,0,18.4,9.6,Clear conditions throughout the day with rain.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-28,33.1,-1.7,0.6,100,0,12.2,30.3,Becoming cloudy in the afternoon with rain.,rain,"42705199999,42065099999,remote"
2024-05-29,38.1,-2.2,0.4,100,0,11.2,22.5,Partly cloudy throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-30,34.1,-2.5,4.8,100,0,14,54.2,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"42705199999,42062099999,42065099999,remote"
2024-05-31,27.1,-4.5,3.2,100,0.2,8.6,30.8,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-01,30.1,-4.3,4.9,100,0.2,15.5,41.8,Partly cloudy throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-02,37.1,-3.8,0.6,100,0,14.8,13.5,Clear conditions throughout the day with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-06-03,30.1,-4.4,8,100,2.2,7.9,28.3,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-04,31.1,-5.9,9.6,100,0.1,10.1,35.5,Partly cloudy throughout the day with rain or snow.,snow,"42705199999,42065099999,remote"
2024-06-05,32.1,-3.7,16.6,100,4.1,10.1,71.1,Becoming cloudy in the afternoon with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-06,25.1,-2.3,6.9,100,1,12.6,39.7,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-07,30.1,-3.8,4,100,0,10.1,25.4,Becoming cloudy in the afternoon with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
2024-06-08,26.1,-1.7,4.7,100,0.3,10.1,95.3,Cloudy skies throughout the day with rain or snow.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-09,25.8,-7.8,5,100,0,11.9,29.9,Becoming cloudy in the afternoon with rain or snow.,rain,"42062099999,42065099999,remote"
2024-06-10,25.9,-7.5,4.5,100,0,9.4,39,Partly cloudy throughout the day with rain or snow.,rain,"42062099999,42065099999,remote"
2024-06-11,30.1,-2.9,5.7,100,0.7,10.4,38.6,Becoming cloudy in the afternoon with a chance of rain or snow throughout the day.,snow,"42705199999,42062099999,42065099999,remote"
2024-06-12,31.1,-4.2,2.4,100,0,9.7,22.4,Becoming cloudy in the afternoon with rain or snow.,rain,"42705199999,42062099999,42065099999,remote"
