rain,temp_min,dt,temp_max,clouds,snow
6,283.67,2024-07-15,293.5,60,0
0,282.5,2024-07-16,295.67,30,0
0,284.43,2024-07-17,294.34,20,0
0,283.1,2024-07-18,293.34,25,0
0,284.3,2024-07-19,295.78,30,0
0,286.12,2024-07-20,295.9,15,0
1.52,285.92,2024-07-21,295.64,45,0
0,285.87,2024-07-22,294.56,27,0
2.23,286.12,2024-07-23,294.23,48,0
0,285.56,2024-07-24,295.78,21,0
2.12,285.24,2024-07-25,295.32,74,0
2.32,287.12,2024-07-26,295.56,65,0
0.89,288.32,2024-07-27,295.87,56,0
1.34,288.34,2024-07-28,294.32,49,0
2.33,286.86,2024-07-29,294.56,65,0
1.78,287.32,2024-07-30,295.76,56,0
2.45,287.44,2024-07-31,295.87,76,0
1.21,286.75,2024-08-01,290.34,54,0
0.95,286.45,2024-08-02,292.56,43,0
2.05,286.76,2024-08-03,291.65,59,0
0,286.23,2024-08-04,291.78,87,0
0,286.15,2024-08-05,292.34,78,0
2.82,287.41,2024-08-06 06:30:00,291.41,99,0
2.99,286.01,2024-08-07 06:30:00,292.18,37,0
1.84,287.07,2024-08-08 06:30:00,291.52,94,0
2.84,286.77,2024-08-09 06:30:00,291.48,93,0
7.84,286.03,2024-08-10 06:30:00,293.03,76,0
27.7,284.08,2024-08-11 06:30:00,286.92,100,0
4.29,285.09,2024-08-12 06:30:00,289.2,99,0
9.61,285.88,2024-08-13 06:30:00,291.08,50,0
14.71,285.92,2024-08-14 06:30:00,293.37,52,0
30.39,284.36,2024-08-15 06:30:00,292.4,54,0
42.21,283.85,2024-08-16 06:30:00,290.87,96,0
14.56,285.01,2024-08-17 06:30:00,290.52,97,0
3.19,286.33,2024-08-18 06:30:00,291.08,92,0
3.02,285.16,2024-08-19 06:30:00,290.67,71,0
2.26,285.8,2024-08-20 06:30:00,291.97,70,0
3.21,283.27,2024-08-21 06:30:00,291.19,9,0
2.24,283.73,2024-08-22 06:30:00,291.07,30,0
4.7,283.49,2024-08-23 06:30:00,291.18,28,0
5.05,285.67,2024-08-24 06:30:00,290.63,56,0
1.66,283.2,2024-08-25 06:30:00,293.18,0,0

